Age,Qx,Px
0,0.00489000000000000,0.995110000000000
1,0.00038186733124981,0.999618132668750
2,0.00027143043841042,0.999728569561590
3,0.00022122558976731,0.999778774410233
4,0.00018104280656582,0.999818957193434
5,0.00016095607910991,0.999839043920890
6,0.00014085924137237,0.999859140758628
7,0.00013081629367252,0.999869183706327
8,0.00013083340881415,0.999869166591186
9,0.00012078510317061,0.999879214896829
10,0.00013086633513862,0.999869133664861
11,0.00013088346337780,0.999869116536622
12,0.00016110842597068,0.999838891574029
13,0.00020141798259749,0.999798582017402
14,0.00026189612796648,0.999738103872034
15,0.00037279596977330,0.999627204030227
16,0.00050396621410501,0.999496033785895
17,0.00066557082782893,0.999334429172171
18,0.00082747207281754,0.999172527927182
19,0.00094935110841792,0.999050648891582
20,0.00102101677095864,0.998978983229041
21,0.00105241853875734,0.998947581461243
22,0.00105352729040885,0.998946472709591
23,0.00104449762706364,0.998955502372936
24,0.00104558974306916,0.998954410256931
25,0.00104668414527569,0.998953315854724
26,0.00106812609991557,0.998931873900084
27,0.00108963522678670,0.998910364773213
28,0.00111121305726315,0.998888786942737
29,0.00114306709395603,0.998856932906044
30,0.00116481046285889,0.998835189537141
31,0.00119685748189369,0.998803142518106
32,0.00124950071180573,0.998750499288194
33,0.00132284627295754,0.998677153727042
34,0.00142728056844786,0.998572719431552
35,0.00153214943084248,0.998467850569158
36,0.00165808444902163,0.998341915550978
37,0.00179494321171046,0.998205056788290
38,0.00195318555262750,0.998046814447373
39,0.00214338966202783,0.997856610337972
40,0.00236590604862560,0.997634093951374
41,0.00264195296491611,0.997358047035084
42,0.00293053281466726,0.997069467185333
43,0.00325293391628140,0.996747066083719
44,0.00359934938874023,0.996400650611260
45,0.00397042716319825,0.996029572836802
46,0.00434575733544806,0.995654242664552
47,0.00471517777494584,0.995284822225054
48,0.00507895860008536,0.994921041399915
49,0.00544807172579469,0.994551928274205
50,0.00582298136645963,0.994177018633540
51,0.00623671308950497,0.993763286910495
52,0.00667969133713887,0.993320308662861
53,0.00715313870056808,0.992846861299432
54,0.00766949246331260,0.992330507536687
55,0.00820833100987007,0.991791668990130
56,0.00874855221581261,0.991251447784187
57,0.00932490839582081,0.990675091604179
58,0.00995087542511651,0.990049124574883
59,0.01066389081656260,0.989336109183437
60,0.01145689635016020,0.988543103649840
61,0.01234655502731850,0.987653444972681
62,0.01335105491294870,0.986648945087051
63,0.01447833104770690,0.985521668952293
64,0.01576238208999340,0.984237617910007
65,0.01719090158396520,0.982809098416035
66,0.01876463998370510,0.981235360016295
67,0.02045979397493450,0.979540206025066
68,0.02231758519754710,0.977682414802453
69,0.02434431559553480,0.975655684404465
70,0.02657632013774140,0.973423679862259
71,0.02902788674131660,0.970972113258683
72,0.03167327750844720,0.968326722491553
73,0.03454501319901690,0.965454986800983
74,0.03768248031805400,0.962317519681946
75,0.04116657685461880,0.958833423145381
76,0.04506284273987530,0.954937157260125
77,0.04938293622485380,0.950617063775146
78,0.05425585801924840,0.945744141980752
79,0.05992739679831780,0.940072603201682
80,0.06659632833931210,0.933403671660688
81,0.07433196183930910,0.925668038160691
82,0.08303619401162510,0.916963805988375
83,0.09252650082565390,0.907473499174346
84,0.10263559521014300,0.897364404789857
85,0.11352412101390000,0.886475878986100
86,0.12533205430932700,0.874667945690673
87,0.13801830682920700,0.861981693170793
88,0.15155370687545900,0.848446293124541
89,0.16576306379051800,0.834236936209482
90,0.18058628318584100,0.819413716814159
91,0.19625379682754000,0.803746203172460
92,0.21289103506193600,0.787108964938064
93,0.23059482528674300,0.769405174713257
94,0.24926330386548800,0.750736696134512
95,0.26899099515123500,0.731009004848765
96,0.28963992419456700,0.710360075805433
97,0.31124944419742100,0.688750555802579
98,0.33376371852808300,0.666236281471917
99,0.35755813953488400,0.642441860465116
100,0.38159879336349900,0.618401206636501
101,0.40487804878048800,0.595121951219512
102,0.43032786885245900,0.569672131147541
103,0.46043165467625900,0.539568345323741
104,0.48000000000000000,0.520000000000000
105,0.51282051282051300,0.487179487179487
106,0.52631578947368400,0.473684210526316
107,0.55555555555555600,0.444444444444444
108,0.50000000000000000,0.500000000000000
109,0.50000000000000000,0.500000000000000
110,1.00000000000000000,0.000000000000000
111,1.00000000000000000,0.000000000000000
112,1.00000000000000000,0.000000000000000
113,1.00000000000000000,0.000000000000000
114,1.00000000000000000,0.000000000000000
115,1.00000000000000000,0.000000000000000
116,1.00000000000000000,0.000000000000000
117,1.00000000000000000,0.000000000000000
118,1.00000000000000000,0.000000000000000
119,1.00000000000000000,0.000000000000000
120,1.00000000000000000,0.000000000000000
